Countries,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,37769496,38972230,40099462,41128771,42239854,43372950,44515793,45667550,46827624,47990912,49158072,50330837,51506437,52685458,53866558,55046630,56226855,57410144,58600249,59792941,60985590,62180342,63375847,64572473,65768823,66964990,68161269,69355671,70546052,71729374,72905780,74075234,75318230,76582084,77867145,79173770,80502320,81853164,83226675,84623233,86043227,87487048,88955096,90447779,91965509,93508707,95077800,96673223,98295418,99944833,101621925,103327160,105061008,106823951,108616476,110439081,112292269,114176553,116092457,118040509,120021251,122035229,124083002,126165138,128282212,130434811,132623531,134848978,137111768,139412528,141751896,144130519,146549055,149008175,151508559,154050901,156635903,159264282,161936765,164654094,167417020,170226308
Albania,2873883,2837849,2811666,2777689,2768265,2762825,2757065,2750941,2744274,2737008,2728971,2720244,2710642,2700175,2688850,2676640,2663567,2649529,2634620,2618745,2602023,2584447,2566102,2546974,2527255,2507018,2486318,2465215,2443792,2422078,2400114,2377598,2356431,2335453,2314661,2294055,2273632,2253391,2233330,2213448,2193742,2174212,2154856,2135672,2116659,2097816,2079140,2060630,2042285,2024104,2006084,1988225,1970524,1952982,1935595,1918363,1901285,1884359,1867583,1850957,1834478,1818147,1801961,1785919,1770019,1754262,1738644,1723166,1707825,1692621,1677552,1662618,1647816,1633147,1618607,1604198,1589916,1575762,1561733,1547830,1534050,1520393
Algeria,42705372,43451666,44177969,44903225,45606480,46278751,46922031,47538087,48130008,48700234,49251258,49787283,50311560,50826981,51336846,51845003,52352520,52860879,53371371,53883769,54398757,54917437,55440658,55965060,56488986,57012291,57533658,58050507,58559198,59055401,59535713,60001113,60507160,61017475,61532094,62051054,62574390,63102140,63634341,64171031,64712247,65258028,65808412,66363437,66923144,67487571,68056759,68630747,69209576,69793287,70381921,70975520,71574125,72177778,72786523,73400402,74019458,74643736,75273278,75908130,76548336,77193942,77844993,78501535,79163614,79831277,80504571,81183544,81868243,82558716,83255013,83957183,84665275,85379339,86099425,86825584,87557868,88296328,89041016,89791984,90549287,91312976
Angola,32353592,33428486,34503774,35588987,36684202,37804634,38942791,40099526,41274799,42468711,43680934,44911664,46161755,47428242,48710079,50007927,51321963,52652827,53998512,55355639,56723291,58104437,59498476,60898051,62306440,63724815,65146245,66573219,68005916,69442324,70883694,72328068,73856778,75417799,77011813,78639518,80301626,81998864,83731974,85501715,87308861,89154202,91038546,92962717,94927557,96933925,98982699,101074776,103211071,105392518,107620071,109894706,112217416,114589219,117011152,119484274,122009668,124588438,127221712,129910643,132656406,135460203,138323261,141246831,144232193,147280654,150393546,153572231,156818101,160132574,163517101,166973163,170502272,174105971,177785837,181543480,185380544,189298707,193299683,197385223,201557115,205817182
Antigua and Barbuda,92127,92664,93219,93763,94298,94816,95319,95803,96266,96701,97118,97510,97871,98200,98507,98788,99034,99245,99421,99570,99689,99776,99834,99850,99838,99806,99743,99658,99543,99397,99228,99030,98888,98746,98605,98463,98322,98181,98040,97900,97759,97619,97479,97340,97200,97061,96921,96782,96644,96505,96367,96229,96091,95953,95815,95678,95541,95404,95267,95130,94994,94858,94722,94586,94450,94315,94180,94045,93910,93775,93641,93506,93372,93239,93105,92971,92838,92705,92572,92439,92307,92174
Argentina,44745516,45376763,45808747,46234830,46519252,46799296,47075644,47348576,47618080,47883184,48144012,48400764,48651616,48900004,49144116,49384448,49619348,49849220,50074416,50292084,50502480,50706752,50903340,51090756,51271540,51443848,51607816,51763440,51911760,52048972,52175896,52288896,52426187,52563838,52701851,52840226,52978964,53118067,53257535,53397369,53537570,53678140,53819078,53960387,54102066,54244118,54386542,54529341,54672514,54816063,54959990,55104294,55248977,55394040,55539483,55685309,55831518,55978110,56125087,56272450,56420201,56568339,56716866,56865783,57015091,57164791,57314884,57465371,57616253,57767532,57919207,58071281,58223754,58376628,58529903,58683580,58837661,58992146,59147038,59302335,59458041,59614155
Armenia,2820604,2805608,2790974,2780469,2777970,2777979,2777003,2775109,2772323,2768742,2764470,2759528,2753925,2747753,2741125,2734049,2726573,2718722,2710501,2701923,2693021,2683809,2674265,2664340,2654030,2643414,2632515,2621300,2609802,2598016,2585903,2573465,2561815,2550218,2538673,2527180,2515740,2504351,2493014,2481728,2470493,2459309,2448176,2437093,2426060,2415077,2404144,2393261,2382426,2371641,2360905,2350217,2339577,2328986,2318443,2307947,2297499,2287098,2276744,2266438,2256177,2245964,2235796,2225675,2215599,2205569,2195584,2185645,2175751,2165901,2156096,2146335,2136619,2126946,2117318,2107732,2098191,2088692,2079237,2069824,2060454,2051126
Australia,25357168,25649248,25685412,26005540,26256970,26506632,26753838,26997850,27238992,27476168,27708022,27935076,28157296,28374266,28587468,28797924,29004336,29207592,29408738,29606266,29801132,29993276,30182698,30370826,30557100,30741804,30924586,31105432,31283882,31459128,31631298,31798006,31975628,32154243,32333855,32514470,32696094,32878733,33062392,33247077,33432794,33619548,33807345,33996192,34186093,34377055,34569083,34762185,34956365,35151629,35347985,35545437,35743992,35943656,36144436,36346337,36549366,36753529,36958833,37165283,37372887,37581650,37791579,38002681,38214963,38428430,38643089,38858948,39076012,39294289,39513785,39734507,39956462,40179657,40404099,40629794,40856750,41084974,41314473,41545254,41777324,42010690
Austria,8879939,8916864,8955797,9041851,9055536,9068574,9081478,9093603,9104683,9114582,9122891,9129606,9134620,9138063,9139724,9139916,9138560,9135646,9130941,9124643,9116675,9106915,9095565,9082505,9067796,9051799,9034398,9015718,8995803,8974995,8953611,8930681,8910081,8889528,8869023,8848565,8828155,8807791,8787475,8767205,8746982,8726805,8706676,8686592,8666555,8646564,8626620,8606721,8586868,8567061,8547300,8527584,8507914,8488289,8468709,8449175,8429685,8410241,8390841,8371486,8352176,8332911,8313689,8294513,8275380,8256291,8237247,8218246,8199290,8180377,8161507,8142681,8123899,8105160,8086464,8067811,8049201,8030635,8012111,7993629,7975191,7956795
Azerbaijan,10232761,10093121,10137750,10141756,10195755,10246234,10293667,10338629,10381563,10421905,10460570,10497642,10532781,10566579,10598338,10628313,10655598,10680485,10702285,10720317,10734175,10744184,10749508,10749575,10745125,10736805,10725019,10710362,10692645,10672252,10648913,10621822,10601302,10580822,10560381,10539980,10519618,10499295,10479012,10458768,10438563,10418397,10398270,10378182,10358133,10338123,10318151,10298217,10278323,10258466,10238648,10218869,10199127,10179424,10159758,10140131,10120542,10100990,10081477,10062000,10042562,10023161,10003798,9984472,9965183,9945932,9926717,9907540,9888400,9869297,9850231,9831202,9812209,9793253,9774334,9755451,9736605,9717795,9699022,9680285,9661584,9642919
